"id","channel_name","username","created_at","channel_type"
1,ANDRON ALEXANYAN,andron_233,2024-12-10 16:13:11.231,unknown
2,LEFT JOIN,leftjoin,2024-12-10 16:13:11.936,unknown
9,Data Science. SQL hub,sqlhub,2024-12-11 10:23:47.963,unknown
10,Фичизм,fichism,2024-12-11 10:23:48.496,unknown
11,Аналитика и growth mind-set,analyticsgrowthmindset,2024-12-11 10:23:48.930,unknown
14,karpov.courses,KarpovCourses,2024-12-11 14:40:43.121,unknown
54,Simulative,simulative_official,2024-12-12 21:08:43.883,unknown
80,Reveal the Data,revealthedata,2024-12-12 22:17:44.208,unknown
81,No Data No Growth | Pavel Bukhtik,nodatanogrowth,2024-12-12 22:17:45.053,unknown
82,настенька и графики,nastengraph,2024-12-12 22:17:45.752,unknown
83,data.csv,data_csv,2024-12-12 22:17:46.256,unknown
84,Инжиниринг Данных,rockyourdata,2024-12-12 22:17:47.164,unknown
85,Глеб Михайлов,mikhaylovgleb,2024-12-12 22:17:48.236,unknown
86,"Секреты аналитики | Data Science, BI, Tableau",analytics_secrets,2024-12-12 22:17:49.191,unknown
101,Дизраптор,disruptors_official,2024-12-12 23:07:38.627,unknown
102,This is Data,thisisdata,2024-12-12 23:11:12.900,unknown
